client_id,treatment_flg,target
0020f90a83,0,1
00211fcfaa,0,0
00213be6fb,0,1
0021e07838,1,1
00220fd087,1,0
002283ef29,0,1
0022f28148,1,1
002373ad29,0,0
002381dc56,1,0
0023969710,1,1
0024e5fa85,1,1
002553645a,1,1
0025726a63,1,1
0025cdb75d,1,1
002656ccc0,1,1
0026c7cf64,1,1
002788e5c3,0,1
002793e817,0,0
0027aac018,0,1
0028873847,1,0
0028dccae2,1,0
00294b38c6,0,0
0029d2526b,0,1
0029eea5f1,1,0
002ae6cc1b,1,0
002b4e86ab,1,1
002b8fdf26,1,0
002baf7ce5,1,1
002bc9cb6f,0,1
002bd178f9,0,1
002c3888d6,1,0
002d5163f4,0,0
002d75f279,1,0
002deadd7f,1,1
002e2b5abb,0,0
002e7fd44c,1,1
002eb5949e,0,1
002ef20e02,1,1
002f046bce,1,0
002f8028db,0,1
002fabed20,1,1
002fd1211f,1,0
00311c0bda,0,0
003176084f,1,1
0031a646ab,1,1
0031c96fbc,1,0
0031da7c7b,0,1
0032621e01,0,1
003309874c,0,1
0033164c42,1,0
00335b315c,1,1
0033be19ad,1,0
0034573c3d,0,1
0034cc2f3a,0,1
0034f54109,1,0
00350b2a7c,0,1
00350e1366,1,0
0035326bbd,0,0
0035ae3cea,1,1
0035b2eff5,1,1
0036cc0e4b,1,1
0037d53c0f,1,1
0037e12239,0,0
0037ec90b6,0,0
0038b5eb9a,1,0
0038c479b1,1,0
00395f040a,0,1
003a0977ad,0,1
003ad69e9c,1,0
003b5c69d4,1,0
003b9c13e7,1,1
003c8a943a,1,0
003cbc4d37,1,0
003d60f530,0,1
003da7167f,1,1
003e1d8ebc,1,1
003e1e87f7,0,1
003e2a7b76,1,1
003e89bea3,0,1
003eff7176,0,1
003f325b7d,1,1
003f35d8a5,1,1
003f73cc7b,1,1
003f8ad99f,1,1
003fc67a6a,0,1
003fe23c1e,0,1
003fef058e,0,0
004087b6bd,0,0
0040a39c53,0,0
0040addc86,0,0
00419e04ac,0,0
0041b6b22d,1,1
0041cc521b,0,1
00432e8431,0,1
00433f3f2f,1,1
0043b20415,0,0
004523d7a4,0,1
00454c617e,1,0
004554742f,1,0
0045f683ce,0,0
0046897964,1,1
0046e67e68,1,1
004741795f,0,0
00476227b8,0,1
0047aed44a,1,1
0047d59024,1,0
0047df97be,0,0
0047f2242c,1,0
00480e7c3d,0,1
00482eb511,1,1
0048c1e686,0,0
00491ad03f,1,1
004923aa68,1,1
004967fa03,1,1
0049690b46,1,1
00497ff95d,0,1
0049b2b0f7,0,1
004a2f8c01,1,1
004a51cf43,0,1
004a674bb0,0,1
004ab9a752,1,1
004b2ebc75,1,1
004b3b6a8d,1,1
004b3d3e4e,0,1
004b4291f6,1,1
004b7b9359,0,0
004bb8195e,0,1
004bc0bac9,1,0
004bfc2b74,0,0
004c3f8825,1,1
004ccd0955,0,1
004de24640,0,0
004e0c04e8,1,1
004e7eacda,1,0
004e97dde2,0,0
004ec9afa7,1,1
004ee01979,1,1
004eef0f1d,1,1
004f5d39fd,1,0
004f98c1b4,0,1
004febbe72,1,0
005001550e,0,1
00501ddf9b,1,0
0050223b8f,0,1
00512f9f38,1,1
00514955a4,1,0
0051a92d55,1,0
0051d5f4b2,0,0
0051ef0744,0,0
005317837d,0,1
0053de5636,1,0
0053f1b695,1,1
00540960fe,1,1
005411b848,1,1
0054cad5c2,0,1
0054d1c237,0,0
0055455d82,1,0
0055bb8e9a,1,0
0055f35abe,1,1
0055ffa287,1,0
0056079bb2,1,0
0056a04a6c,0,1
0056b83594,1,0
0057119624,0,1
00572a886f,0,1
005824bec7,0,1
0058dc72d5,0,0
00592b4080,0,1
00595658c6,1,1
0059a0a47a,0,1
005a6ad2c9,0,1
005ae12216,1,1
005b013b83,1,1
005b557c90,1,1
005b7eaa0b,1,1
005bbdfa8c,0,0
005cc3e647,1,0
005cd234ce,0,1
005d74e641,0,1
005eee22b0,1,0
005f4e08c1,0,0
006000d409,1,0
006008c3d6,0,0
0061071e72,1,0
00611bf2a0,0,0
0061395321,1,0
0061e89efb,0,0
0062115d09,1,1
00624ef11a,0,0
00625dfc32,0,1
0062790782,1,1
00629874b1,1,1
006316b396,0,0
0063addab6,1,0
006494f8d8,1,1
006560e5c3,1,0
00656551fb,1,0
006603b88b,0,1
0066608ba8,1,1
006681bf7c,0,0
006690cf74,1,0
00674cdbcd,0,1
006836c9d3,0,0
006865533f,0,0
0068b2146c,0,1
0068cc4787,0,1
006944312e,1,1
0069812862,0,0
00698cfa17,0,0
0069d4c139,0,0
006a5c5869,1,1
006ada3035,1,1
006af08085,0,0
006ba9bfbe,0,0
006c2b02d7,1,1
006ced7c31,1,0
006cf006f4,0,0
006d47ff8a,1,1
006d884ad6,0,1
006dec5b5a,0,0
006e43f3ef,0,0
006f525321,0,0
006f7b4bea,1,1
006f9de7ab,0,1
006fbf9f37,1,0
00704fd5fc,0,1
0070fe43ab,1,0
007141cc23,0,1
00715f1dde,0,1
007172badc,0,1
007185c4ce,0,1
007214ae4d,0,0
007272819b,0,1
0073728919,0,0
0073a60dcf,0,0
0074bdf718,0,1
00756cca48,1,1
007614d972,0,0
0076512239,0,1
0076b6c49e,0,0
0076d8763e,1,0
007704eb91,0,1
00773afba4,1,1
00775b2af4,1,0
0077c45e10,1,1
007832b6bc,0,0
0078392faa,0,0
00785b7311,1,1
0078a3bb25,0,0
0078d68a84,1,0
00792ed8eb,1,0
00797f2109,1,0
0079913122,0,0
0079974546,1,1
0079e36d2c,1,1
007a7d159a,1,1
007b4f5d3e,1,0
007b579b99,0,1
007bb1e704,1,1
007bb1ed55,1,1
007bbeeefc,1,1
007bc3e893,1,1
007c1918a5,0,0
007c2f7b9b,0,1
007cb76fd5,0,0
007ce9c5e9,1,1
007df5b273,0,1
007e05ab17,0,1
007e64167e,0,1
007eae8b2c,1,0
007f454a48,0,0
007fa7b2bd,1,0
007fa9d93c,0,0
00805cdfbf,0,0
0080e6b5ed,0,1
00811b9696,0,1
0081438483,0,0
0081f9d927,1,1
0082088330,0,1
0082388281,0,1
0083150fad,1,1
0084105f2c,1,1
0084349310,0,0
008447702a,0,1
00849455f3,1,1
0084f550b3,0,1
00858ee1a5,1,0
0085eeaeff,1,0
0086333738,1,1
0086e92157,0,1
008748f285,0,1
008757c2cf,1,1
0087d90c93,0,1
008815a235,0,1
0088580149,0,0
008866f7fe,1,1
00889445d8,1,0
00891f585e,0,0
008934657b,1,0
008977b904,0,0
0089d33772,0,0
008a14df72,1,1
008a1a0e00,1,0
008a3d596d,1,1
008a522ff0,1,0
008a6a83b1,0,0
008bb27b9e,1,1
008bfb9b29,0,1
008c99b974,1,0
008cb8d420,0,0
008daf691b,1,1
008e353ea9,0,1
008e5ec8f3,1,0
008e67491f,1,1
008e7b6098,0,1
008e938674,1,0
008fcf3f29,1,1
0090c5fd9c,1,1
0090d7b6a7,1,0
0091327b53,1,1
00915088ca,1,1
009162b3ed,0,0
00918c0fa2,1,1
009243e3e7,1,1
00924b00de,1,0
009279f756,0,1
00927e57f6,1,1
0092db68cc,0,1
00936bb3d3,0,1
0093ed45c1,1,1
00946ede17,1,1
0094a5f7ba,0,1
0094a79d07,1,0
0094c5c509,1,0
0094ca5fec,1,0
00963d21b0,0,1
0096686b18,0,0
0096803ef8,0,1
00969d8139,0,0
0096a2720b,0,1
0096b7d024,0,0
0096c29928,0,1
0096fc894e,0,1
00973192c1,1,1
00974072e9,1,1
00975d6856,0,1
00978b8cac,1,0
00978ef7ff,0,1
0097f2be83,1,1
00983c41cf,1,0
0098b49c1c,1,0
0098fbf0c1,1,0
00998b6e12,1,1
0099fdab63,0,0
009a57def8,0,1
009a77a7bb,1,0
009ae37425,1,1
009b4176c3,1,1
009b8c104e,1,0
009bfb8a2d,0,1
009c005e6e,0,1
009c1909c5,1,1
009c20b9f4,0,0
009caa74b3,1,1
009cb1c3b1,1,1
009d5ea086,0,1
009dbf5491,1,1
009e2e2a75,0,1
009e6ad95d,0,0
009e6bfb62,0,0
009e7131b3,1,1
009f1e2591,0,1
009f43c994,0,0
009f5921f0,1,0
00a0a854c8,1,0
00a1282898,0,1
00a12da0d4,0,0
00a1f7b0e2,1,0
00a272a218,0,1
00a346bdf8,0,1
00a3665ed3,0,1
00a385016e,1,1
00a3b1d75b,0,1
00a3ecfbad,0,0
00a3ed5720,1,1
00a3f9fe76,0,1
00a41a1ae6,0,0
00a4541a8e,0,0
00a459ceff,1,0
00a4a5d957,0,0
00a51468df,1,0
00a583dba5,1,0
00a59c7b38,0,0
00a652bb08,1,1
00a750aedf,1,1
00a7c3dc7d,0,1
00a7d6981c,1,1
00a83a5aff,1,1
00a8ad7305,1,0
00a90cb8fd,1,0
00a92b8476,1,0
00a98bf878,0,0
00aa0097c1,1,1
00aa1898da,1,1
00aa18cdf3,1,1
00ab0d3245,0,1
00ab1569b9,0,0
00ab30ddd7,1,1
00ab43fa47,1,1
00ab9a44e2,1,1
00abdce50a,1,0
00ad123def,0,1
00ad6aa1be,1,1
00ad6fcb7c,1,1
00ad7878bf,0,1
00ad98dfd2,1,0
00ae6584b2,1,1
00af3c8615,0,1
00afd0b158,1,0
00afd71995,0,1
00afe42034,1,1
00b09c7e23,0,1
00b0fba338,0,0
00b11581a3,1,0
00b19bc224,0,1
00b2278d0d,0,1
00b398ffd8,0,1
00b465a1f8,0,0
00b46fdb3f,1,1
00b49158e1,1,1
00b4a7fca8,0,1
00b517ccb7,1,1
00b54a90c1,1,1
00b5647236,1,0
00b569a325,1,1
00b5c8a9c8,1,1
00b61963bb,1,1
00b6ba546f,0,1
00b6d18f4b,0,1
00b7285972,1,0
00b72f2f65,0,0
00b757c357,1,1
00b75afd9c,1,1
00b79be95c,0,1
00b7b57445,0,1
00b7d34c3f,1,0
00b7d7a6f1,0,1
00b7e13c1e,0,0
00b7fde698,1,0
00b84c6571,1,1
00b87f201b,0,0
00b8aa23d9,0,1
00b8cb629a,1,1
00b8ff0955,1,1
00b97e47c7,0,0
00b98c6a8d,0,1
00babcf186,1,0
00bae9a320,1,1
00baf5e546,1,1
00baf7f448,0,1
00bb14adcb,1,0
00bb1bb4e8,1,1
00bb1bee79,1,0
00bb2ac4b3,0,0
00bb60dcd1,1,1
00bb8dd707,1,1
00bc0000cc,0,0
00bc648458,0,0
00bc9ff799,1,1
00bcb30c47,1,0
00bd6ef212,1,1
00bd958d14,1,0
00bdac4450,0,1
00be448058,1,0
00be5c7d6a,1,1
00be854fd6,1,1
00be902bc4,1,0
00bed3d9f3,0,0
00bf3c303b,0,1
00bf9e9bf0,0,0
00c071c6b8,1,1
00c088e0b5,0,1
00c0c24927,1,1
00c22d815b,0,0
00c2b26f12,0,0
00c3fecde6,1,0
00c44560a9,1,1
00c49867a3,0,1
00c4b7630f,1,1
00c5a4e4b0,1,1
00c5b9b490,0,0
00c5d67fd3,0,0
00c60aad5b,0,1
00c61e1164,0,1
00c6713569,0,1
00c6a29868,0,0
00c732f507,0,1
00c7d171cd,1,1
00c820390c,1,0
00c888cb7b,1,1
00c9346655,1,1
00c9a2eaf9,1,0
00c9aa9e66,0,1
00c9d5c7cf,1,1
00ca98d868,0,0
00caacd556,0,1
00cabb8ec2,0,0
00cbe78608,1,1
00cc24361e,0,1
00cc9afcdd,0,0
00ccf17e06,0,1
00cd11cdae,0,0
00cd6305d1,1,1
00cef27b36,0,1
00cf1c3bb5,1,1
00cf563621,0,1
00cf6402dc,1,1
00cf75d1dd,1,1
00d0695f94,0,1
00d07592f0,0,1
00d12bcb5b,1,1
00d17a778d,0,0
00d18141d0,0,0
00d24fa45f,1,0
00d26aa085,1,0
00d2c9fc19,1,0
00d2d9fad2,1,1
00d2e9d312,1,1
00d364a937,1,1
00d3ac4237,0,0
00d3d2673b,0,0
00d40cd491,1,1
00d4348627,0,1
00d4ad4f5c,0,1
00d526af45,1,1
00d5379766,0,1
00d565f1f3,1,1
00d6281e2a,1,1
00d62d7155,0,1
00d64bc2a5,0,1
00d69584eb,1,0
00d699bda0,0,0
00d702f3ec,0,1
00d72f358e,0,0
00d804cac2,1,0
00d84dd90c,1,1
00d8663878,1,1
00d89f4586,0,1
00d905dfa4,1,1
00d93b04ab,1,1
00d9a4c5dc,0,0
00da6e3f55,1,0
00dac46bd1,0,0
00db492122,0,0
00dbedb64f,0,1
00dbfd8169,1,0
00dc948f81,0,1
00dce78b7f,0,0
00dcfc6fc6,0,1
00dd297669,1,1
00dd3dc836,0,1
00dd9dc0a3,0,1
00de19a69b,1,1
00de380ecc,1,1
00dedd204b,0,0
00dee800a3,1,1
00df3ee8b7,0,1
00df6d1871,1,0
00df72b2ef,1,1
00df8827b4,0,1
00e015b63b,1,0
00e076d487,0,0
00e0fc6810,1,1
00e130ffb7,0,1
00e155ac13,0,1
00e164676a,1,0
00e26bd172,0,1
00e29f8c9f,1,0
00e2a4b5b6,1,0
00e2bb4142,1,1
00e2d67c70,0,1
00e2e59c2c,0,0
00e2e853a1,1,1
00e35d201d,1,1
00e3617556,1,1
00e38f656d,1,1
00e3b71adb,1,1
00e547dd79,0,0
00e5e4bb96,1,1
00e5f8e84f,0,0
00e795e292,0,1
00e7af6cba,0,1
00e7b0ee19,1,1
00e868ea90,1,1
00e88de378,0,0
00e9198da1,0,0
00e9833e6b,1,1
00e99e239a,0,0
00e99e7b95,1,1
00e9b63ecb,0,0
00e9bde5c0,0,1
00ea30c4b6,1,0
00eab57f0f,0,1
00ead36131,0,1
00eb9ffb5d,1,1
00ebdd4562,0,0
00ec163aba,0,0
00eccc97d8,0,1
00eceaf36c,0,1
00ed8e1d58,0,1
00eda01ef8,0,1
00edc9fe43,0,0
00edf40643,0,0
00edf61ee6,1,0
00ee2166e2,1,1
00ee24335a,0,0
00ef09e94c,0,0
00ef23859d,0,0
00ef2dd90e,1,1
00ef61e899,1,1
00f010bf97,0,1
00f04152dd,1,0
00f07c8b3f,0,1
00f0820822,0,0
00f145d843,1,1
00f156b609,0,1
00f1c9870b,1,1
00f2862550,1,1
00f2dbafa3,1,0
00f2fc8936,1,1
00f406b954,1,0
00f4fa67ee,0,0
00f526c7dd,0,1
00f58c3682,0,1
00f635eb48,0,0
00f6379859,0,1
00f6768f89,1,1
00f692ab6c,1,0
00f69e8a16,1,0
00f6b4df4c,0,1
00f6cab0d9,0,1
00f7787220,0,1
00f7d9cba2,1,0
00f803de8f,1,0
00f8078da7,0,0
00f8c77166,0,1
00f8d02ea3,0,0
00f8e6f6a8,1,1
00f8ef43f0,0,1
00f93d67ab,1,1
00fa86ae3e,0,0
00fb261ae3,1,1
00fb7a8719,0,1
00fb7dafc6,1,1
00fb935f70,0,0
00fcb262c1,0,1
00fcfbd31e,0,1
00fe02b6e2,0,1
00fe0bd91e,1,1
00fe2656c9,1,0
00fe42597c,1,0
00fe6d4606,1,1
00fe9c1e5f,1,1
00feb8fad6,0,0
00ff1d0fd9,1,1
00ff68aad6,0,0
00ffdff6b2,1,1
01001692f4,1,0
010030116a,1,0
0101dc0498,0,0
0102af564f,1,0
0102e181d1,0,0
0102e83b94,0,1
010316536a,0,1
010365b848,0,1
010416371f,1,0
01049339f0,0,0
0104a55e81,1,0
0105209938,1,0
01053f3e33,1,0
01057621c2,1,0
0105f80c7d,1,1
0106503ca9,1,0
010686bdf2,0,1
010746444f,0,0
01074bfe52,0,0
0107df6f0c,0,0
01080ccb10,0,1
01081efffc,1,0
01085fd46f,0,1
010a34a9ae,0,1
010a722354,1,1
010aca319f,1,1
010b6d4562,1,1
010bda4696,0,1
010bf37796,1,0
010bfab5cf,1,1
010c3ab96e,1,1
010c5002de,1,1
010cd792f6,1,1
010dd15d06,1,0
010eed1db7,1,1
010ef9e62c,1,1
010fc2b0e9,1,1
010fc9870f,1,1
010fd50e57,1,1
0110d347a8,0,0
0110da53b5,1,1
0110dbc44c,1,1
0110fc3c1d,1,1
011112f621,1,1
011124b472,1,1
01112bbd76,0,1
0111d7975c,0,1
01123151c7,0,1
011251cce8,1,1
01152c175b,1,1
011578a019,0,1
0115d182cc,0,1
0115d2f9ce,1,1
0116d738de,0,1
01172f4ffd,1,0
01176b3330,1,1
01176cdb33,0,1
0117afbbde,0,1
01181ec7ce,0,1
0118411492,1,1
011893a516,1,1
011ab5b389,1,1
011ac66b87,0,0
011b083aca,1,1
011b0ce58c,1,1
011b45ac07,0,1
011b4aac31,1,1
011c04469d,1,1
011cc8a1d9,0,1
011d80e7cf,1,0
011dac99e6,0,1
011e2425fc,0,1
011f3867b5,1,1
011fa7d8d2,1,1
011fb66657,1,0
011fd47733,1,1
011fef655c,0,1
01200c8104,0,0
01214a010a,1,0
0121cf825f,1,1
01220d5e48,1,1
01220f939c,1,0
01237b9718,1,1
012380fbf6,1,1
0123b37d2a,1,1
0123f4a369,0,0
012477e7e7,1,1
0124b879bd,0,1
01255bb7c5,1,1
0125dea829,0,0
0125e6f880,0,1
012690cccc,1,1
0126c9cd98,0,0
0126d7c0b9,0,1
01272529c9,1,0
012775de1e,1,1
0127b10583,0,0
0127baa39b,1,1
0127e8861d,1,1
012915491e,0,0
0129c18769,0,1
012a170bf2,1,1
012a79c410,0,0
012b8a357b,1,0
012be0deaf,1,0
012c8e7c25,0,1
012c9b53b5,1,1
012cdd1675,0,1
012d3232ea,0,1
012d584b53,0,1
012d89ebfe,0,1
012e5221c2,0,0
012e7e97ae,1,0
012ecebbf9,0,0
012ef8b940,1,1
013020d601,1,1
01308f8155,1,1
0130b696fe,1,1
0130e5d92e,1,0
01313cd1ed,0,1
01315b3f0a,1,1
0131931ccb,0,0
01319c3d37,0,1
0131ed3c22,1,1
01326ee990,1,1
0132cc4482,1,1
0132f36238,0,1
01335ac66d,1,0
01336271a8,0,1
0133b22ecb,0,1
0133c2ccb1,1,1
0133c6fb7c,1,0
01345bdda4,1,0
0134862cf4,1,1
0135927a01,0,1
0135ec023d,1,0
0135ef3636,0,1
0136857291,1,1
013698464b,0,0
01369a4763,1,0
0137241e16,1,1
0137c65ac5,0,0
01382fcfec,0,1
013842c06c,0,1
0138fcfdca,1,0
0139bc09b8,0,1
013a235ec1,1,1
013ab31304,1,1
013ab3178c,0,0
013aee0d77,0,0
013af288ec,1,1
013afc6277,0,1
013b0cadeb,0,0
013b37d0a8,0,1
013bac137f,1,1
013c0cefe7,0,1
013c72d5fb,1,0
013d11c2dd,1,1
013df96eb3,1,0
013e224ffd,0,0
013e8ac1a0,1,0
013e961914,0,0
013ef2118c,0,0
013efcf3be,0,0
013f069739,1,0
013f58330b,1,1
0140184676,0,1
0140498d03,1,1
01407e9bca,0,1
0140c55ac2,0,0
0140e78531,0,1
01414d10c8,0,0
014171959a,1,0
014182db0c,1,1
0141d72e41,1,1
01421ad430,1,1
0142cdde89,1,0
0142ed6220,1,0
0143050bbb,1,1
014369b300,0,0
0143fb891e,0,0
01440dcc9f,0,0
014414d6eb,0,1
0144dead80,0,0
014508c547,1,1
014565f6d3,0,0
01463c1f19,1,1
014650f87d,1,1
01467e6528,1,0
01468bffde,1,0
0146f093e3,0,1
0146f56d5d,0,1
01470f1c40,1,1
014734610d,0,1
01476eac2e,0,1
014824f10f,0,0
0148b5a5c6,0,0
014955a183,1,1
0149bde0e2,0,1
0149c5921d,0,0
0149dc2100,0,0
0149f9396f,0,1
014a683119,0,1
014a7dbc9b,0,1
014a967266,0,1
014b416ffb,0,0
014bb02270,0,0
014bdbd6a3,1,1
014bfbb8d2,0,1
014c836d67,1,1
014cc852e3,1,1
014cdf8c51,0,1
014ce09c9d,1,0
014d19daf9,1,1
014d93e3e8,1,1
014d9412e7,0,1
014dd2aac1,1,1
014e0a2317,1,0
014e39d5b4,1,0
014e5149d0,1,1
014e6be425,1,1
014ea0b0b7,1,1
014ee63e20,1,1
014f601ee1,1,0
014f613a2d,0,1
014f871fdc,1,1
014fee26b0,1,1
015012190a,1,0
0150c13fa7,1,1
01514baf78,1,1
01517ccaa4,1,1
01527800e7,0,1
0152e45cd6,1,0
015373c457,0,0
015384c2e4,1,0
01539e04fa,1,1
0153fefaa4,0,0
015405c436,0,0
0154b3a5e0,0,1
01552554c7,0,0
015529d742,0,0
01553e772b,0,1
01554cc66c,0,1
01554fbb47,0,1
01560c93c2,1,1
0156705287,1,0
0156a41a44,1,0
0156bd8cca,0,0
0156cb919c,0,1
015730c01a,1,1
015765b9d7,1,0
0157f3a38e,1,1
0158988410,0,1
01592b67fb,0,1
0159314dc7,0,1
01599d7fc9,0,1
0159ec25a7,0,0
015aba6f5d,1,1
015b47d58f,1,1
015b58b7e1,1,0
015b9b7331,1,1
015bafe785,0,1
015c51c2ce,1,1
015c5bdf0f,0,1
015cd75d60,0,1
015cd77749,0,0
015db5dbaa,1,0
015ea7b4c2,0,1
015f2ed0a3,1,1
015f754675,0,1
015fc929e5,1,1
0160936efe,0,1
0160c69985,1,1
0160dbab5e,0,0
0161c8005d,0,0
0161f2ee01,1,0
01621fe5e0,1,0
0162bbf9a3,1,0
016328421b,1,1
016342beaf,1,1
01638a931b,1,1
0163f94a43,1,1
0164141b17,0,1
01642d249f,0,1
01643d6415,0,0
016498302f,0,1
0164a252d4,0,0
0165e26644,0,1
01660154a2,0,0
016639bd68,1,1
0166456162,1,1
0166eab3c1,1,1
01671a24fb,1,1
0167f933ab,0,1
0167fdb18b,1,1
0168e34035,0,1
01690b36e8,0,1
0169d49165,0,0
0169f26ea2,1,0
016a146072,0,0
016a245e5d,1,0
016acaa87f,0,0
016b6d0b12,0,1
016bb11223,1,1
016c175f42,1,0
016c56c8c6,0,0
016c68e993,0,1
016cff5678,1,1
016d24b034,1,0
016f23d64b,1,1
016f2f2115,1,0
016f40bc40,1,1
016fc884e1,0,1
016fea8e68,1,1
01700a0424,1,1
0170275941,1,0
017101f8d7,0,1
017102cad2,1,0
01710a7d1b,1,1
0171d82740,0,0
0171fb858f,0,1
01726d879a,1,1
0172d1386b,1,0
01730fb13d,1,1
0173b80bff,1,1
0173d250e0,0,1
0173e9e654,1,1
0173f3470d,1,1
01742e2209,0,1
0174c59617,1,1
0175146dd5,0,1
01751f00ff,1,0
017556eefa,1,1
0175c28564,0,1
01760cc567,1,1
0176131751,0,1
01767803fa,1,0
01772675ad,0,0
0177346918,1,1
017761bbec,0,1
0177b8eb1c,0,1
0177d8d284,0,1
01788bf4b1,1,0
0178c42fdd,1,1
0178c7c47c,0,1
01795c0347,0,0
01798fefdf,0,0
0179d07f9d,0,0
0179e480f0,1,1
017a2741ef,0,0
017a6de872,1,0
017a9f1df6,1,1
017b4137a0,0,1
017b672457,0,0
017be27b6e,0,0
017d2a7506,0,0
017ddc7870,1,1
017e6bad14,1,0
017e891bbe,1,1
017eadc335,1,0
017f00817e,0,1
017f1ab47a,0,1
017f88dbcc,0,1
01801f08d8,0,1
018078cd11,0,1
0180a0a3ca,0,1
0180ef8d2f,1,1
0180fb0f82,1,1
01810faf39,1,0
018114034e,1,1
01820124af,1,1
01821d4398,1,1
018253c9e4,0,0
0182c96251,1,0
0182f30243,0,0
0183033120,0,0
0183629c7e,1,1
0183802777,1,1
0184525abf,0,1
018476f384,1,0
0184959c69,1,0
0184e3b1cb,0,1
01857b49be,0,1
0185df1920,1,1
01863a6ed2,0,0
0186781faa,0,1
0186b2c091,0,1
0186bb0b79,0,0
0186e6034d,1,0
0187288b4f,0,1
018751fa3d,0,1
0187f4f812,1,1
018930cd47,0,1
018939071c,1,0
0189613149,0,0
0189aa75db,1,1
0189b5cd81,1,0
0189cf0982,1,1
0189d7040b,0,0
0189ed747d,1,1
018af945d2,0,0
018af97820,1,1
018b53de0a,1,1
018b686d8c,1,1
018b9dfc31,1,0
018bcef23f,0,0
018d54a901,1,1
018d637fdc,0,1
018d68ff46,1,1
018d69c860,0,0
018d6a4d8a,1,0
018d74e080,0,1
018e13c70d,0,0
018e38dacd,0,1
018eab4dfe,0,0
018ec508c7,1,1
018f282fcd,0,0
018f7561ba,1,1
018fc345c7,1,0
018ff8caf6,1,1
01909fa0b2,0,1
0190b5c2db,0,1
0191012161,0,0
01910bf96c,0,0
019166b751,0,1
019171269a,1,0
0191accf67,0,1
019232a14e,1,1
01931ea33c,1,0
01933940d8,0,0
01935bf71b,1,1
01936496c4,1,0
01936be77f,1,1
0193960a8b,0,1
0193df9c50,1,1
0194d535b9,1,1
019598cdbd,0,1
01960f36ba,1,1
019709580f,1,1
01977ca179,0,1
01989d0dee,1,1
0198a3b4a0,1,1
0198a873a0,1,1
0199bbdb8f,0,0
019a1ff66e,0,0
019a8108c9,0,0
019b0a8ad9,0,1
019b0b267c,0,1
019b375256,0,1
019b3d761c,1,1
019b6fb4fb,0,1
019bd51983,1,0
019c0080c5,0,0
019c444944,1,0
019cbafc05,1,1
019d00cd6c,0,1
019d1eac0f,1,1
019d87f157,0,0
019da22692,0,0
019e2bfeb3,1,1
019e369672,1,1
019e3d15d4,1,1
019e575836,0,0
019e642852,0,1
019eda3967,0,1
019eeb3cba,0,0
019f141a72,0,0
019f3c4669,0,1
019f3d2c57,0,1
019f988718,1,1
019f9f04c2,1,0
019fc64768,0,0
019ffc585d,1,0
01a036b673,0,0
01a067b113,0,1
01a14833db,1,1
01a1bc3564,1,1
01a1e782ae,0,0
01a1f4e306,1,1
01a24025fd,0,0
01a2c79562,0,0
01a3913ed0,0,1
01a4090e56,1,1
01a44df247,1,1
01a49ecebb,0,0
01a4a55ed0,1,1
01a4b5f5e9,0,0
01a4dece4e,1,0
01a4ff2cfb,0,0
01a50d93ff,0,1
01a5191270,1,1
01a57c8a31,0,1
01a605dfb5,1,0
01a63c5296,1,0
01a67a3217,0,1
01a6b526bc,0,1
01a7274c7c,0,1
